Days_Since_Refill,Opening_Stock,Prev_Closing,HSD1_Sold,Total_Sold,Target
0,12000,12000.0,1881.0,5346.0,0
0,6654,6654.0,2174.0,5834.0,1
1,12000,820.0,1625.0,4075.0,0
2,7925,7925.0,1430.0,3778.0,0
0,4147,4147.0,1528.0,3935.0,1
1,12000,212.0,1562.0,4315.0,0
2,7685,7685.0,2071.0,5280.0,0
0,2405,2405.0,1834.0,4976.0,1
1,12000,0.0,2180.0,5460.0,0
0,6540,6540.0,1711.0,4805.0,1
1,12000,1735.0,1610.0,4407.0,0
2,7593,7593.0,1586.0,4288.0,0
0,3305,3305.0,1755.0,4430.0,1
1,12000,0.0,1935.0,5007.0,0
0,6993,6993.0,2079.0,5738.0,1
1,12000,1255.0,2103.0,5270.0,0
2,6730,6730.0,1733.0,4411.0,0
0,2319,2319.0,1731.0,4498.0,1
1,12000,0.0,1561.0,4176.0,0
2,7824,7824.0,1704.0,4252.0,0
0,3572,3572.0,1944.0,4943.0,1
1,12000,0.0,1836.0,4700.0,0
2,7300,7300.0,1877.0,5032.0,0
0,2268,2268.0,1433.0,3775.0,1
1,12000,0.0,1458.0,3898.0,0
2,8102,8102.0,1502.0,3784.0,0
0,4318,4318.0,1490.0,4180.0,1
1,12000,138.0,1677.0,4747.0,0
0,7253,7253.0,2207.0,5748.0,1
1,12000,1505.0,2028.0,5373.0,0
2,6627,6627.0,1333.0,3569.0,0
0,3058,3058.0,1601.0,4075.0,1
1,12000,0.0,1484.0,3930.0,0
2,8070,8070.0,1782.0,4550.0,0
0,3520,3520.0,1930.0,4963.0,1
1,12000,0.0,2274.0,5942.0,0
0,6058,6058.0,2023.0,5355.0,1
1,12000,703.0,1389.0,3480.52,0
2,8533,8533.0,1502.0,3793.0,0
0,4740,4740.0,1473.0,4140.0,1
1,12000,600.0,1664.0,4435.0,0
2,7565,7565.0,1628.0,4475.0,0
0,3090,3090.0,2026.0,5263.0,1
1,12000,0.0,1866.0,4910.0,0
2,7090,7090.0,1445.0,3812.0,0
0,3278,3278.0,1662.0,4069.0,1
1,12000,0.0,1685.0,4472.0,0
2,7528,7528.0,1367.0,3569.0,0
0,3959,3959.0,1786.0,4841.0,1
1,12000,0.0,2197.0,5634.0,0
0,6366,6366.0,1797.0,4893.0,1
1,12000,1473.0,1553.0,3999.0,0
2,8001,8001.0,1463.0,3647.0,0
0,4354,4354.0,1355.0,3741.0,1
1,12000,613.0,1700.0,4436.0,0
2,7564,7564.0,1801.0,4598.0,0
0,2966,2966.0,2098.0,5706.0,1
1,12000,0.0,1749.0,4914.0,0
2,7086,7086.0,1443.0,3965.0,0
0,3121,3121.0,1758.0,4886.0,1
1,12000,0.0,1592.0,4283.0,0
2,7717,7717.0,1889.0,4922.0,0
0,2795,2795.0,1919.0,5383.0,1
1,12000,0.0,2599.0,6607.0,0
0,5393,5393.0,1903.0,5202.0,1
1,12000,191.0,1778.0,4778.0,0
2,7222,7222.0,1644.0,4648.0,0
0,2574,2574.0,1844.0,4649.0,1
1,12000,0.0,1990.0,4856.0,0
2,7144,7144.0,2082.0,5088.0,0
0,2056,2056.0,2081.0,5571.0,1
1,12000,0.0,2066.0,5063.0,0
2,6937,6937.0,1570.0,4122.0,0
0,2815,2815.0,1640.0,4123.0,1
1,12000,0.0,1733.0,4519.0,0
2,7481,7481.0,1721.0,4787.0,0
0,2694,2694.0,2218.0,6038.0,1
1,12000,0.0,2137.0,5617.0,0
0,6383,6383.0,2213.0,5732.0,1
1,12000,651.0,1753.0,4876.0,0
2,7124,7124.0,1683.0,4266.0,0
0,2858,2858.0,1688.0,4198.0,1
1,12000,0.0,1747.0,4495.0,0
2,7505,7505.0,1987.0,5002.0,0
0,2503,2503.0,2340.0,5899.0,1
1,12000,0.0,2006.0,5656.0,0
2,6344,6344.0,1494.0,3732.0,0
0,2612,2612.0,1727.0,4334.0,1
1,12000,0.0,1869.0,4762.0,0
2,7238,7238.0,1489.0,4226.0,0
0,3012,3012.0,2078.0,5210.0,1
1,12000,0.0,2376.0,6132.0,0
0,5868,5868.0,2355.0,6153.0,1
1,12000,0.0,1597.0,4404.0,0
2,7596,7596.0,1663.0,4750.0,0
0,2846,2846.0,1607.0,4324.0,1
1,12000,0.0,1887.0,4831.0,0
0,7169,7169.0,2134.0,5428.0,1
1,12000,1741.0,2192.0,5507.0,0
0,6493,6493.0,2063.0,5836.0,1
1,12000,657.0,1379.0,3708.0,0
2,8292,8292.0,1846.0,4593.0,0
0,3699,3699.0,1984.0,5367.0,1
1,12000,0.0,1916.0,4788.0,0
2,7212,7212.0,1839.0,4904.0,0
0,2308,2308.0,2285.0,5659.0,1
1,12000,0.0,2219.0,5464.0,0
0,6536,6536.0,2009.0,5374.0,1
1,12000,1162.0,1577.0,4330.0,0
2,7670,7670.0,1746.0,4662.0,0
0,3008,3008.0,1676.0,4549.0,1
1,12000,0.0,1775.0,4860.0,0
0,7140,7140.0,2236.0,5618.0,1
1,12000,1522.0,1830.0,4704.0,0
2,7296,7296.0,1683.0,4703.0,0
0,2593,2593.0,1636.0,4539.0,1
1,12000,0.0,1819.0,4517.0,0
2,7483,7483.0,1677.0,4259.0,0
0,3224,3224.0,1894.0,5256.0,1
1,12000,0.0,2338.0,6066.0,0
0,5934,5934.0,2166.0,5630.0,1
1,12000,304.0,1793.0,4895.0,0
0,7105,7105.0,2135.0,5272.0,1
1,12000,1833.0,1822.0,4839.0,0
2,7161,7161.0,1747.0,4773.0,0
0,2388,2388.0,1763.0,4911.0,1
1,12000,0.0,2547.0,6378.0,0
0,5622,5622.0,1791.0,4583.0,1
1,12000,1039.0,1741.0,4419.0,0
2,7581,7581.0,1656.0,4466.0,0
0,3115,3115.0,1582.0,3990.0,1
1,12000,0.0,1691.0,4683.0,0
2,7317,7317.0,1945.0,4934.0,0
0,2383,2383.0,2168.0,5607.0,1
1,12000,0.0,2097.0,5238.0,0
2,6762,6762.0,1464.0,4155.0,0
0,2607,2607.0,1905.0,5186.0,1
1,12000,0.0,1571.0,4435.0,0
2,7565,7565.0,2002.0,5062.0,0
0,2503,2503.0,1790.0,5017.0,1
1,12000,0.0,2014.0,4914.0,0
0,7086,7086.0,2258.0,6028.0,1
1,12000,1058.0,1704.0,4434.0,0
2,7566,7566.0,1810.0,4597.0,0
0,2969,2969.0,1671.0,4465.0,1
1,12000,0.0,1467.0,4178.0,0
2,7822,7822.0,2316.0,5765.0,0
0,2057,2057.0,2212.0,6175.0,1
1,12000,0.0,1970.0,5520.0,0
2,6480,6480.0,1533.0,4263.0,0
0,2217,2217.0,1776.0,4671.0,1
1,12000,0.0,1581.0,3880.0,0
2,8120,8120.0,1312.76,3480.52,0
0,4643,4643.0,1824.0,4466.0,1
1,12000,177.0,1731.0,4591.0,0
2,7409,7409.0,1730.0,4413.0,0
0,2996,2996.0,1361.0,3854.0,1
1,12000,0.0,1540.0,4060.0,0
2,7940,7940.0,1435.0,3910.0,0
0,4030,4030.0,1350.0,3612.0,1
1,12000,418.0,1383.0,3480.52,0
2,8622,8622.0,1850.0,5196.0,0
0,3426,3426.0,1779.0,4685.0,1
1,12000,0.0,1312.76,3480.52,0
2,8572,8572.0,1312.76,3480.52,0
0,5103,5103.0,1312.76,3480.52,1
1,12000,1970.0,1380.0,3642.0,0
2,8358,8358.0,1654.0,4243.0,0
0,4115,4115.0,1865.0,4998.0,1
1,12000,0.0,1661.0,4591.0,0
2,7409,7409.0,1590.0,3889.0,0
0,3520,3520.0,1443.0,3925.0,1
1,12000,0.0,1312.76,3480.52,0
2,8591,8591.0,1387.0,3795.0,0
0,4796,4796.0,1474.0,3989.0,1
