Date,Day,Opening_Stock,MS_Sold,HSD1_Sold,HSD2_Sold,HSD3_Sold,Total_Sold,Closing_Stock,Cash,Online,Card,Dip,Refill_Required,Year,Month,DayOfWeek,DayOfYear,WeekOfYear,Quarter,Is_Weekend,Day_Num,Target,Stock_Ratio,Rolling_7d_Sales,Rolling_3d_Sales,Prev_Closing,Prev_Total_Sold,Days_Since_Refill,Is_Festival_Month,Is_Monsoon_Month,Is_Summer_Month
2011-01-01,Saturday,12000,711,1881,1702,1052,5346,6654,227287,158865,99086,55,No,2011,1,5,1,52,1,1,5,0,0.5545,5346.0,5346.0,12000.0,5216.549046058971,0,0,0,0
2011-01-02,Sunday,6654,757,2174,1748,1155,5834,820,263097,203622,112244,6,Yes,2011,1,6,2,52,1,1,6,1,0.0683,5590.0,5590.0,6654.0,5346.0,0,0,0,0
2011-01-03,Monday,12000,455,1625,1302,693,4075,7925,170856,115783,73403,66,No,2011,1,0,3,1,1,0,0,0,0.6604,5085.0,5085.0,820.0,5834.0,1,0,0,0
2011-01-04,Tuesday,7925,409,1430,1037,902,3778,4147,148728,130226,75541,34,No,2011,1,1,4,1,1,0,1,0,0.3456,4758.0,4562.0,7925.0,4075.0,2,0,0,0
2011-01-05,Wednesday,4147,476,1528,1251,680,3935,212,172731,136389,78490,1,Yes,2011,1,2,5,1,1,0,2,1,0.0177,4594.0,3929.0,4147.0,3778.0,0,0,0,0
2011-01-06,Thursday,12000,496,1562,1402,855,4315,7685,203561,136785,99032,64,No,2011,1,3,6,1,1,0,3,0,0.6404,4547.0,4009.0,212.0,3935.0,1,0,0,0
2011-01-07,Friday,7685,734,2071,1627,848,5280,2405,213201,150739,127164,20,No,2011,1,4,7,1,1,0,4,0,0.2004,4652.0,4510.0,7685.0,4315.0,2,0,0,0
2011-01-08,Saturday,2405,500,1834,1358,1284,4976,0,229519,175151,94616,1,Yes,2011,1,5,8,1,1,1,5,1,0.0,4599.0,4857.0,2405.0,5280.0,0,0,0,0
2011-01-09,Sunday,12000,703,2180,1551,1026,5460,6540,224384,167495,118289,54,No,2011,1,6,9,1,1,1,6,0,0.545,4546.0,5239.0,0.0,4976.0,1,0,0,0
2011-01-10,Monday,6540,548,1711,1383,1163,4805,1735,191644,150633,113188,14,Yes,2011,1,0,10,2,1,0,0,1,0.1446,4650.0,5080.0,6540.0,5460.0,0,0,0,0
2011-01-11,Tuesday,12000,533,1610,1453,811,4407,7593,177575,128256,103954,63,No,2011,1,1,11,2,1,0,1,0,0.6328,4740.0,4891.0,1735.0,4805.0,1,0,0,0
2011-01-12,Wednesday,7593,503,1586,1177,1022,4288,3305,194932,144096,78750,27,No,2011,1,2,12,2,1,0,2,0,0.2754,4790.0,4500.0,7593.0,4407.0,2,0,0,0
2011-01-13,Thursday,3305,534,1755,1402,739,4430,0,195586,134445,93213,1,Yes,2011,1,3,13,2,1,0,3,1,0.0,4807.0,4375.0,3305.0,4288.0,0,0,0,0
2011-01-14,Friday,12000,621,1935,1563,888,5007,6993,196752,157678,109486,58,No,2011,1,4,14,2,1,0,4,0,0.5828,4768.0,4575.0,0.0,4430.0,1,0,0,0
2011-01-15,Saturday,6993,780,2079,1875,1004,5738,1255,229276,177379,130420,10,Yes,2011,1,5,15,2,1,1,5,1,0.1046,4876.0,5058.0,6993.0,5007.0,0,0,0,0
2011-01-16,Sunday,12000,545,2103,1727,895,5270,6730,242366,180552,108834,56,No,2011,1,6,16,2,1,1,6,0,0.5608,4849.0,5338.0,1255.0,5738.0,1,0,0,0
2011-01-17,Monday,6730,566,1733,1249,863,4411,2319,178649,156112,80814,19,No,2011,1,0,17,3,1,0,0,0,0.1932,4793.0,5140.0,6730.0,5270.0,2,0,0,0
2011-01-18,Tuesday,2319,554,1731,1396,817,4498,0,185511,142902,86329,1,Yes,2011,1,1,18,3,1,0,1,1,0.0,4806.0,4726.0,2319.0,4411.0,0,0,0,0
2011-01-19,Wednesday,12000,449,1561,1332,834,4176,7824,170826,122362,75773,65,No,2011,1,2,19,3,1,0,2,0,0.652,4790.0,4362.0,0.0,4498.0,1,0,0,0
2011-01-20,Thursday,7824,528,1704,1259,761,4252,3572,188072,133697,84102,29,No,2011,1,3,20,3,1,0,3,0,0.2977,4765.0,4309.0,7824.0,4176.0,2,0,0,0
2011-01-21,Friday,3572,648,1944,1535,816,4943,0,233527,162598,103457,1,Yes,2011,1,4,21,3,1,0,4,1,0.0,4755.0,4457.0,3572.0,4252.0,0,0,0,0
2011-01-22,Saturday,12000,556,1836,1547,761,4700,7300,189121,161765,101971,60,No,2011,1,5,22,3,1,1,5,0,0.6083,4607.0,4632.0,0.0,4943.0,1,0,0,0
2011-01-23,Sunday,7300,682,1877,1365,1108,5032,2268,205038,161191,106730,18,No,2011,1,6,23,3,1,1,6,0,0.189,4573.0,4892.0,7300.0,4700.0,2,0,0,0
2011-01-24,Monday,2268,514,1433,1120,708,3775,0,178283,129923,85815,1,Yes,2011,1,0,24,4,1,0,0,1,0.0,4482.0,4502.0,2268.0,5032.0,0,0,0,0
2011-01-25,Tuesday,12000,405,1458,1173,862,3898,8102,155730,126575,93103,67,No,2011,1,1,25,4,1,0,1,0,0.6752,4397.0,4235.0,0.0,3775.0,1,0,0,0
2011-01-26,Wednesday,8102,440,1502,1161,681,3784,4318,173366,117696,81363,35,No,2011,1,2,26,4,1,0,2,0,0.3598,4341.0,3819.0,8102.0,3898.0,2,0,0,0
2011-01-27,Thursday,4318,456,1490,1186,1048,4180,138,197936,131304,76273,1,Yes,2011,1,3,27,4,1,0,3,1,0.0115,4330.0,3954.0,4318.0,3784.0,0,0,0,0
2011-01-28,Friday,12000,561,1677,1398,1111,4747,7253,211856,166242,106440,60,No,2011,1,4,28,4,1,0,4,0,0.6044,4302.0,4237.0,138.0,4180.0,1,0,0,0
2011-01-29,Saturday,7253,642,2207,1830,1069,5748,1505,257554,176728,105334,12,Yes,2011,1,5,29,4,1,1,5,1,0.1254,4452.0,4892.0,7253.0,4747.0,0,0,0,0
2011-01-30,Sunday,12000,670,2028,1689,986,5373,6627,233209,170257,111878,55,No,2011,1,6,30,4,1,1,6,0,0.5522,4501.0,5289.0,1505.0,5748.0,1,0,0,0
2011-01-31,Monday,6627,493,1333,1117,626,3569,3058,153105,107277,63427,25,No,2011,1,0,31,5,1,0,0,0,0.2548,4471.0,4897.0,6627.0,5373.0,2,0,0,0
2011-02-01,Tuesday,3058,485,1601,1270,719,4075,0,162556,111028,91691,1,Yes,2011,2,1,32,5,1,0,1,1,0.0,4497.0,4339.0,3058.0,3569.0,0,0,0,0
2011-02-02,Wednesday,12000,420,1484,1235,791,3930,8070,177542,117122,99933,67,No,2011,2,2,33,5,1,0,2,0,0.6725,4517.0,3858.0,0.0,4075.0,1,0,0,0
2011-02-03,Thursday,8070,524,1782,1344,900,4550,3520,198914,142298,88802,29,No,2011,2,3,34,5,1,0,3,0,0.2933,4570.0,4185.0,8070.0,3930.0,2,0,0,0
2011-02-04,Friday,3520,612,1930,1625,796,4963,0,209626,142705,97742,1,Yes,2011,2,4,35,5,1,0,4,1,0.0,4601.0,4481.0,3520.0,4550.0,0,0,0,0
2011-02-05,Saturday,12000,725,2274,1814,1129,5942,6058,250749,177842,118804,50,No,2011,2,5,36,5,1,1,5,0,0.5048,4629.0,5152.0,0.0,4963.0,1,0,0,0
2011-02-06,Sunday,6058,739,2023,1625,968,5355,703,229281,175073,112454,5,Yes,2011,2,6,37,5,1,1,6,1,0.0586,4626.0,5420.0,6058.0,5942.0,0,0,0,0
2011-02-07,Monday,12000,440,1389,1137,501,3467,8533,142547,106653,70052,71,No,2011,2,0,38,6,1,0,0,0,0.7111,4612.0,4921.0,703.0,5355.0,1,0,0,0
