Days_Since_Refill,Opening_Stock,Prev_Closing,Cash,HSD2_Sold,HSD1_Sold,Total_Sold,Target
0,12000.0,12000.0,155590,1219.0,1684.0,4366.0,0
1,7634.0,7634.0,160056,1230.0,1740.0,4351.0,0
0,3283.0,3283.0,161531,1174.0,1469.0,3951.0,1
1,12000.0,0.0,219210,1508.0,1632.0,4613.0,0
2,7387.0,7387.0,196707,1368.0,1939.0,4794.0,0
0,2593.0,2593.0,230278,1629.0,2045.0,5034.0,1
1,12000.0,0.0,177845,1314.0,1702.0,4584.0,0
2,7416.0,7416.0,177773,1262.0,1386.0,3958.0,0
0,3458.0,3458.0,190240,1303.0,1597.0,4516.0,1
1,12000.0,0.0,200894,1407.0,1833.0,4635.0,0
2,7365.0,7365.0,176857,1470.0,1724.0,4531.0,0
0,2834.0,2834.0,213571,1470.0,1901.0,4685.0,1
1,12000.0,0.0,205998,1656.0,1949.0,5191.0,0
0,6809.0,6809.0,219338,1465.0,2058.0,5063.0,1
1,12000.0,1746.0,134358,1089.0,1270.05,3555.0,0
2,8445.0,8445.0,197284,1249.0,1796.0,4390.0,0
0,4055.0,4055.0,160665,1301.0,1800.0,4501.0,1
1,12000.0,0.0,221388,1483.0,2055.0,5288.0,0
0,6712.0,6712.0,186397,1542.0,1959.0,5112.0,1
1,12000.0,1600.0,231460,1605.0,1951.0,4958.0,0
0,7042.0,7042.0,234897,1611.0,1913.0,5321.0,1
1,12000.0,1721.0,170970,1270.0,1539.0,3959.0,0
2,8041.0,8041.0,184310,1388.0,1695.0,4372.0,0
0,3669.0,3669.0,214801,1239.0,1717.0,4417.0,1
1,12000.0,0.0,203395,1343.0,1873.0,4670.0,0
2,7330.0,7330.0,221666,1316.0,1833.0,4772.0,0
0,2558.0,2558.0,280136,1903.0,2196.0,5976.0,1
1,12000.0,0.0,241289,1791.0,2210.0,5638.0,0
0,6362.0,6362.0,202713,1352.0,1918.0,4977.0,1
1,12000.0,1385.0,144449,1029.0,1449.0,3742.0,0
2,8258.0,8258.0,125707,1067.0,1319.0,3603.0,0
0,4655.0,4655.0,199306,1301.0,1641.0,4567.0,1
1,12000.0,88.0,219502,1635.0,2048.0,5614.0,0
0,6386.0,6386.0,245432,1642.0,2253.0,5954.0,1
1,12000.0,432.0,227685,1505.0,1943.0,5016.0,0
2,6984.0,6984.0,177714,1292.0,1724.0,4243.0,0
0,2741.0,2741.0,182452,1442.0,1660.0,4498.0,1
1,12000.0,0.0,152760,1299.0,1609.0,4085.0,0
2,7915.0,7915.0,213535,1594.0,2012.0,4959.0,0
0,2956.0,2956.0,167976,1480.0,1687.0,4572.0,1
1,12000.0,0.0,231052,1593.0,2088.0,5542.0,0
0,6458.0,6458.0,241176,1650.0,1925.0,5447.0,1
1,12000.0,1011.0,178723,1076.0,1538.0,3923.0,0
2,8077.0,8077.0,211590,1465.0,1788.0,4485.0,0
0,3592.0,3592.0,172851,1243.0,1744.0,4595.0,1
1,12000.0,0.0,190778,1299.0,1811.0,4442.0,0
2,7558.0,7558.0,208827,1603.0,1872.0,4886.0,0
0,2672.0,2672.0,265000,1579.0,1941.0,5505.0,1
1,12000.0,0.0,201484,1417.0,1530.0,4316.0,0
2,7684.0,7684.0,187730,1284.0,1627.0,4023.0,0
0,3661.0,3661.0,214210,1471.0,1728.0,4815.0,1
1,12000.0,0.0,198859,1331.0,1462.0,4138.0,0
2,7862.0,7862.0,173265,1419.0,1551.0,4337.0,0
0,3525.0,3525.0,224609,1594.0,1551.0,5039.0,1
1,12000.0,0.0,213758,1608.0,2097.0,5783.0,0
0,6217.0,6217.0,240979,1828.0,2197.0,5769.0,1
1,12000.0,448.0,150072,1086.0,1482.0,3627.0,0
2,8373.0,8373.0,166706,1351.0,1569.0,4380.0,0
0,3993.0,3993.0,159756,1141.0,1462.0,4117.0,1
1,12000.0,0.0,201548,1158.0,1633.0,4214.0,0
2,7786.0,7786.0,200585,1529.0,1887.0,4980.0,0
0,2806.0,2806.0,218016,1716.0,2164.0,5686.0,1
1,12000.0,0.0,241825,1634.0,2157.0,5347.0,0
2,6653.0,6653.0,162255,1158.0,1568.0,4172.0,0
0,2481.0,2481.0,156186,1212.0,1529.0,4259.0,1
1,12000.0,0.0,183767,1591.0,1812.0,4837.0,0
2,7163.0,7163.0,212252,1533.0,1932.0,5040.0,0
0,2123.0,2123.0,195544,1474.0,1715.0,4808.0,1
1,12000.0,0.0,230927,1609.0,2276.0,5561.0,0
0,6439.0,6439.0,261284,1777.0,2023.0,5456.0,1
1,12000.0,983.0,187014,1270.0,1828.0,4565.0,0
2,7435.0,7435.0,203507,1515.0,1745.0,4697.0,0
0,2738.0,2738.0,210195,1362.0,1878.0,4650.0,1
1,12000.0,0.0,232854,1735.0,1957.0,5463.0,0
0,12000.0,6537.0,235173,1737.0,2113.0,5502.0,1
1,12000.0,1035.0,230114,1552.0,2213.0,5563.0,0
0,6437.0,6437.0,214385,1614.0,2141.0,5294.0,1
1,12000.0,1143.0,185696,1327.0,1445.0,4117.0,0
2,7883.0,7883.0,238441,1765.0,2134.0,5414.0,0
0,2469.0,2469.0,210815,1537.0,2053.0,5106.0,1
1,12000.0,0.0,190358,1307.0,1821.0,4495.0,0
2,7505.0,7505.0,196391,1342.0,1727.0,4548.0,0
0,2957.0,2957.0,224205,1747.0,2385.0,5821.0,1
1,12000.0,0.0,197487,1537.0,1815.0,5155.0,0
0,6845.0,6845.0,215460,1593.0,1787.0,4954.0,1
1,12000.0,1891.0,145057,1244.0,1580.0,4022.0,0
2,7978.0,7978.0,185067,1231.0,1625.0,4463.0,0
0,3515.0,3515.0,175924,1630.0,1851.0,5036.0,1
1,12000.0,0.0,229229,1581.0,2051.0,5538.0,0
0,6462.0,6462.0,235640,1915.0,2153.0,5858.0,1
1,12000.0,604.0,201807,1682.0,2089.0,5464.0,0
2,6536.0,6536.0,178013,1467.0,1585.0,4516.0,0
0,2020.0,2020.0,211496,1358.0,1887.0,4842.0,1
1,12000.0,0.0,193491,1525.0,1768.0,4982.0,0
2,7018.0,7018.0,161746,1418.0,1835.0,4518.0,0
0,2500.0,2500.0,219601,1958.0,2292.0,6194.0,1
1,12000.0,0.0,256041,1789.0,2448.0,6251.0,0
0,5749.0,5749.0,248429,1628.0,1943.0,5382.0,1
1,12000.0,367.0,179801,1473.0,1846.0,4512.0,0
2,7488.0,7488.0,202768,1199.0,1632.0,4167.0,0
0,3321.0,3321.0,176578,1409.0,1915.0,4966.0,1
1,12000.0,0.0,192775,1483.0,1787.0,4674.0,0
2,7326.0,7326.0,222246,1720.0,2075.0,5215.0,0
0,2111.0,2111.0,274872,1890.0,2503.050000000001,6408.0,1
1,12000.0,0.0,208159,1711.0,1824.0,5198.0,0
2,6802.0,6802.0,189610,1380.0,1604.0,4278.0,0
0,2524.0,2524.0,178173,1365.0,1831.0,4810.0,1
1,12000.0,0.0,202298,1567.0,1939.0,4813.0,0
2,7187.0,7187.0,180027,1424.0,1781.0,4661.0,0
0,2526.0,2526.0,233468,1728.0,2180.0,5427.0,1
1,12000.0,0.0,244344,1842.0,2152.0,5925.0,0
0,6075.0,6075.0,272855,1933.0,2485.0,6362.0,1
1,12000.0,0.0,193953,1477.0,1880.0,4811.0,0
2,7189.0,7189.0,205154,1551.0,1824.0,4930.0,0
0,2259.0,2259.0,207752,1450.0,1721.0,4709.0,1
1,12000.0,0.0,205295,1589.0,1891.0,4876.0,0
0,7124.0,7124.0,252730,1427.0,2027.0,5235.0,1
1,12000.0,1889.0,245852,1629.0,1978.0,5631.0,0
0,6369.0,6369.0,181683,1562.0,1993.0,5013.0,1
1,12000.0,1356.0,159748,1240.0,1427.0,3797.0,0
2,8203.0,8203.0,203186,1442.0,1642.0,4667.0,0
0,3536.0,3536.0,196384,1417.0,1751.0,4421.0,1
1,12000.0,0.0,172228,1389.0,1597.0,4467.0,0
2,7533.0,7533.0,186418,1591.0,1973.0,5353.0,0
0,2180.0,2180.0,214722,1746.0,2059.0,5845.0,1
1,12000.0,0.0,217340,1454.0,2062.0,5376.0,0
2,6624.0,6624.0,142084,1228.0,1511.0,3863.0,0
0,2761.0,2761.0,198495,1300.0,1518.0,4301.0,1
1,12000.0,0.0,187805,1433.0,1847.0,4753.0,0
2,7247.0,7247.0,189926,1326.0,1867.0,4571.0,0
0,2676.0,2676.0,175049,1320.0,1881.0,4814.0,1
