Date,Day,Opening_Stock,MS_Sold,HSD1_Sold,HSD2_Sold,HSD3_Sold,Total_Sold,Closing_Stock,Cash,Online,Card,Dip,Refill_Required,Year,Month,DayOfWeek,DayOfYear,WeekOfYear,Quarter,Is_Weekend,Day_Num,Target,Stock_Ratio,Rolling_7d_Sales,Rolling_3d_Sales,Prev_Closing,Prev_Total_Sold,Days_Since_Refill,Is_Festival_Month,Is_Monsoon_Month,Is_Summer_Month
2011-01-01,Saturday,12000,711,1881.0,1702.0,1052.0,5346.0,6654,227287,158865,99086,55,No,2011,1,5,1,52,1,1,5,0,0.5545,5346.0,5346.0,12000.0,5216.549046058971,0,0,0,0
2011-01-02,Sunday,6654,757,2174.0,1748.0,1155.0,5834.0,820,263097,203622,112244,6,Yes,2011,1,6,2,52,1,1,6,1,0.0683,5590.0,5590.0,6654.0,5346.0,0,0,0,0
2011-01-03,Monday,12000,455,1625.0,1302.0,693.0,4075.0,7925,170856,115783,73403,66,No,2011,1,0,3,1,1,0,0,0,0.6604,5085.0,5085.0,820.0,5834.0,1,0,0,0
2011-01-04,Tuesday,7925,409,1430.0,1037.0,902.0,3778.0,4147,148728,130226,75541,34,No,2011,1,1,4,1,1,0,1,0,0.3456,4758.0,4562.0,7925.0,4075.0,2,0,0,0
2011-01-05,Wednesday,4147,476,1528.0,1251.0,680.0,3935.0,212,172731,136389,78490,1,Yes,2011,1,2,5,1,1,0,2,1,0.0177,4594.0,3929.0,4147.0,3778.0,0,0,0,0
2011-01-06,Thursday,12000,496,1562.0,1402.0,855.0,4315.0,7685,203561,136785,99032,64,No,2011,1,3,6,1,1,0,3,0,0.6404,4547.0,4009.0,212.0,3935.0,1,0,0,0
2011-01-07,Friday,7685,734,2071.0,1627.0,848.0,5280.0,2405,213201,150739,127164,20,No,2011,1,4,7,1,1,0,4,0,0.2004,4652.0,4510.0,7685.0,4315.0,2,0,0,0
2011-01-08,Saturday,2405,500,1834.0,1358.0,1284.0,4976.0,0,229519,175151,94616,1,Yes,2011,1,5,8,1,1,1,5,1,0.0,4599.0,4857.0,2405.0,5280.0,0,0,0,0
2011-01-09,Sunday,12000,703,2180.0,1551.0,1026.0,5460.0,6540,224384,167495,118289,54,No,2011,1,6,9,1,1,1,6,0,0.545,4546.0,5239.0,0.0,4976.0,1,0,0,0
2011-01-10,Monday,6540,548,1711.0,1383.0,1163.0,4805.0,1735,191644,150633,113188,14,Yes,2011,1,0,10,2,1,0,0,1,0.1446,4650.0,5080.0,6540.0,5460.0,0,0,0,0
2011-01-11,Tuesday,12000,533,1610.0,1453.0,811.0,4407.0,7593,177575,128256,103954,63,No,2011,1,1,11,2,1,0,1,0,0.6328,4740.0,4891.0,1735.0,4805.0,1,0,0,0
2011-01-12,Wednesday,7593,503,1586.0,1177.0,1022.0,4288.0,3305,194932,144096,78750,27,No,2011,1,2,12,2,1,0,2,0,0.2754,4790.0,4500.0,7593.0,4407.0,2,0,0,0
2011-01-13,Thursday,3305,534,1755.0,1402.0,739.0,4430.0,0,195586,134445,93213,1,Yes,2011,1,3,13,2,1,0,3,1,0.0,4807.0,4375.0,3305.0,4288.0,0,0,0,0
2011-01-14,Friday,12000,621,1935.0,1563.0,888.0,5007.0,6993,196752,157678,109486,58,No,2011,1,4,14,2,1,0,4,0,0.5828,4768.0,4575.0,0.0,4430.0,1,0,0,0
2011-01-15,Saturday,6993,780,2079.0,1875.0,1004.0,5738.0,1255,229276,177379,130420,10,Yes,2011,1,5,15,2,1,1,5,1,0.1046,4876.0,5058.0,6993.0,5007.0,0,0,0,0
